second,src,dst,packetcount,src_ratio,dst_ratio,src_duration_ratio,dst_duration_ratio,TotalPacketDuration,TotalPacketLenght,src_packet_ratio,dst_packet_ratio,DioCount,DisCount,DaoCount,OtherMsg,target
236.0,3,0,1,0.16666667,0.16666667,0.9353785,0.9353785,1.1580047607421875,106,0.1923775,0.1923775,0,0,0,33,dis_flood
374.0,34,31,5,0.094339624,0.094339624,0.09170177,0.09170177,0.095001220703125,390,0.08077879,0.08077879,0,0,5,0,version_num
223.0,23,22,1,0.16363636,0.07272727,0.076121256,0.008225931,0.0009918212890625,78,0.1661791,0.05888459,0,0,1,0,version_num
238.0,30,40,26,0.17687075,0.17687075,0.11694341,0.11694341,0.1179962158203125,2028,0.15273385,0.15273385,0,0,26,0,version_num
634.0,25,4,1,0.5,1.0,0.98007035,1.0,0.051025390625,89,0.5,1.0,0,0,0,13,dis_flood
222.0,23,44,12,0.15053764,0.48387095,0.2045301,0.7715235,0.1689910888671875,1188,0.17395806,0.55099666,12,0,0,0,version_num
304.0,28,44,28,0.4827586,0.4827586,0.9952519,0.9952519,0.837982177734375,1848,0.44126076,0.44126076,0,28,0,12639,version_num
321.0,32,22,5,0.14444445,0.22222222,0.01463516,0.64685625,0.0050048828125,390,0.14571007,0.1923077,0,0,5,0,version_num
120.0,25,23,25,0.26041666,0.30208334,0.09760175,0.16732271,0.097991943359375,1950,0.28162912,0.32668978,0,0,25,0,version_num
93.0,35,22,5,0.045454547,0.09090909,0.0,0.05123348,0.0,390,0.03880597,0.07761194,0,0,5,0,version_num
223.0,43,22,5,0.045454547,0.07272727,0.0072055385,0.008225931,0.0070037841796875,390,0.03680287,0.05888459,0,0,5,1,version_num
193.0,42,44,17,0.147651,0.9328859,0.09200537,0.8951507,0.0910186767578125,1683,0.1425624,0.94635856,17,0,0,0,version_num
256.0,48,31,4,0.4,0.4,0.4752907,0.4752907,0.009979248046875,312,0.39048812,0.39048812,0,0,4,0,legitimate
128.0,34,40,6,0.08219178,0.08219178,0.00090321875,0.00090321875,0.001007080078125,468,0.09363745,0.09363745,0,0,6,0,version_num
219.0,11,5,1,0.16666667,0.8333333,0.08396947,0.8333333,0.001007080078125,89,0.17871486,0.7871486,0,0,0,6,legitimate
515.0,23,5,4,0.25,0.6875,0.22252375,0.7788331,0.010009765625,303,0.22444445,0.6074074,0,0,0,82,legitimate
209.0,37,23,10,0.072463766,0.13768116,0.086102694,0.0906925,0.0749969482421875,780,0.0731776,0.13903743,0,0,10,0,version_num
815.0,16,5,6,0.375,0.9375,0.85695595,0.98604447,0.11993408203125,534,0.38472623,0.92363113,0,0,0,48,legitimate
429.0,10,4,4,0.6666667,0.8333333,0.0017042028,0.072127104,0.001983642578125,356,0.646098,0.8076225,0,0,0,35,dis_flood
381.0,10,4,3,1.0,1.0,1.0,1.0,0.097991943359375,267,1.0,1.0,0,0,0,30,dis_flood
142.0,30,23,5,0.037037037,0.14074074,0.004600365,0.105861075,0.003997802734375,390,0.036171395,0.1374513,0,0,5,0,version_num
750.0,32,54,26,1.0,1.0,1.0,1.0,2.16094970703125,2574,1.0,1.0,26,0,0,29,dis_flood
547.0,4,0,1,0.16666667,0.16666667,0.16923077,0.16923077,0.00201416015625,106,0.2128514,0.2128514,0,0,0,61,legitimate
525.0,18,7,1,0.33333334,0.6666667,0.7817164,0.89525586,0.3580322265625,36,0.15584415,0.54112554,0,0,0,36,sinkhole
94.0,23,22,5,0.067567565,0.067567565,0.0011827801,0.0011827801,0.0009994506835937,390,0.056992546,0.056992546,0,0,5,0,version_num
467.0,17,5,5,0.25,0.5,0.24423338,0.5101764,0.010986328125,392,0.25454545,0.5090909,0,0,0,67,legitimate
391.0,24,44,29,0.46031746,0.9206349,0.6062808,0.9965264,0.522003173828125,2871,0.53764045,0.9269663,29,0,0,0,version_num
394.0,27,7,1,1.0,1.0,1.0,1.0,1.165008544921875,89,1.0,1.0,0,0,0,26,sinkhole
125.0,53,67,10,0.2,1.0,0.09368906,1.0,0.0920028686523437,990,0.2,1.0,10,0,0,0,sinkhole
500.0,2,0,1,0.16666667,0.16666667,0.0014124294,0.0014124294,0.001007080078125,106,0.2128514,0.2128514,0,0,0,22,legitimate
79.0,18,7,4,0.6666667,0.8333333,0.746551,1.0,0.1089935302734375,303,0.6084337,0.7871486,0,0,0,4,sinkhole
3294.0,9,7,4,0.14285715,0.14285715,0.15894869,0.15894869,0.06201171875,303,0.15357324,0.15357324,0,0,0,46,sinkhole
306.0,41,27,1,0.083333336,0.083333336,0.034736842,0.034736842,0.001007080078125,68,0.07505519,0.07505519,0,0,0,2,legitimate
468.0,33,27,1,0.09090909,0.09090909,0.045769766,0.045769766,0.001007080078125,68,0.08607595,0.08607595,0,0,0,3,legitimate
220.0,42,22,5,0.17582418,0.054945055,0.13263337,0.07150312,0.0679931640625,390,0.17240797,0.043904085,0,0,5,0,version_num
232.0,30,44,16,0.23943663,0.9859155,0.23281218,0.7774387,0.0099945068359375,1584,0.31802526,0.98507464,16,0,0,0,version_num
307.0,27,33,5,0.8333333,0.8333333,0.9370229,0.9370229,0.014984130859375,340,0.8333333,0.8333333,0,0,0,29,legitimate
238.0,1,0,2,0.16666667,0.16666667,0.12860648,0.12860648,0.0399932861328125,212,0.2128514,0.2128514,0,0,0,12,sinkhole
501.0,32,38,25,1.0,1.0,1.0,1.0,1.266998291015625,1700,1.0,1.0,0,0,0,412,dis_flood
404.0,25,42,27,0.3253012,0.3253012,0.027891133,0.027891133,0.02398681640625,2106,0.36297828,0.36297828,0,0,27,0,version_num
116.0,37,35,1,0.016129032,0.016129032,0.0,0.0,0.0,78,0.018258426,0.018258426,0,0,1,0,version_num
102.0,25,23,38,0.23529412,0.21390374,0.18200006,0.18297799,0.186004638671875,2964,0.24639241,0.22399311,0,0,38,0,version_num
486.0,1,0,1,0.06666667,0.06666667,0.030499076,0.030499076,0.001007080078125,106,0.08877722,0.08877722,0,0,0,77,legitimate
643.0,27,31,5,0.41666666,0.41666666,0.34189406,0.34189406,0.01300048828125,340,0.33530572,0.33530572,0,0,0,26,legitimate
244.0,26,5,4,0.6666667,0.8333333,0.79979676,0.93292683,0.0120086669921875,303,0.6084337,0.7871486,0,0,0,36,legitimate
329.0,28,44,13,0.2,0.5846154,0.5287431,0.8787336,0.423004150390625,858,0.1577496,0.6127965,0,13,0,13614,version_num
100.0,34,40,36,0.2682927,0.17560975,0.16268446,0.15769717,0.1580123901367187,2808,0.29469624,0.18052073,0,0,36,0,version_num
374.0,4,0,1,0.16666667,0.16666667,0.047895502,0.047895502,0.001007080078125,106,0.2128514,0.2128514,0,0,0,42,legitimate
235.0,25,40,5,0.041322313,0.049586777,0.0009834893,0.0009834893,0.001007080078125,390,0.047181223,0.05661747,0,0,5,0,version_num
363.0,18,5,4,0.6666667,0.8333333,0.8171745,0.9085873,0.009002685546875,356,0.7148594,0.7871486,0,0,0,65,legitimate
154.0,30,23,5,0.04587156,0.04587156,0.0012526097,0.0012526097,0.001007080078125,390,0.038621508,0.038621508,0,0,5,0,version_num
655.0,1,0,1,0.2,0.2,0.15492958,0.15492958,0.00201416015625,106,0.2591687,0.2591687,0,0,0,114,legitimate
152.0,27,40,4,0.041237112,0.26804122,0.10282439,0.39663124,0.097991943359375,312,0.03477098,0.22601137,0,0,4,0,version_num
176.0,35,22,1,0.04379562,0.04379562,0.056239188,0.0036705248,0.0,78,0.057288542,0.04679064,0,0,1,0,version_num
141.0,33,44,9,0.097345136,0.7787611,0.30776215,0.66704494,0.0999908447265625,891,0.10037389,0.81305724,9,0,0,0,version_num
316.0,31,7,1,1.0,1.0,1.0,1.0,2.061004638671875,89,1.0,1.0,0,0,0,5,sinkhole
3354.0,26,7,2,1.0,1.0,1.0,1.0,0.56494140625,178,1.0,1.0,0,0,0,49,sinkhole
252.0,8,4,4,0.6666667,0.8333333,0.32621652,0.6008907,0.0760040283203125,303,0.6084337,0.7871486,0,0,0,28,dis_flood
323.0,32,44,3,0.028169014,0.556338,0.088840686,0.5501023,0.108001708984375,297,0.031226581,0.5908069,3,0,0,29,version_num
169.0,6,4,4,0.8,0.8,0.7854031,0.7854031,0.0110015869140625,303,0.7408313,0.7408313,0,0,0,18,dis_flood
215.0,28,44,94,0.6573427,0.6573427,0.8779004,0.8779004,0.8700103759765625,6204,0.59843737,0.59843737,0,94,0,8808,version_num
140.0,3,0,3,0.12,0.12,0.00798622,0.00798622,0.0070037841796875,318,0.15844545,0.15844545,0,0,0,18,dis_flood
156.0,32,54,29,0.96666664,0.96666664,0.99353087,0.99353087,0.3069915771484375,2871,0.96993244,0.96993244,0,0,0,29,dis_flood
76.0,39,49,2,0.1,1.0,0.5223433,1.0,0.7129974365234375,198,0.1,1.0,2,0,0,0,legitimate
676.0,40,54,19,1.0,1.0,1.0,1.0,1.29998779296875,1881,1.0,1.0,19,0,0,0,dis_flood
412.0,7,4,16,0.9411765,1.0,0.97270423,1.0,2.672027587890625,1424,0.9411765,1.0,0,0,0,528,dis_flood
160.0,8,7,1,1.0,1.0,1.0,1.0,0.05499267578125,89,1.0,1.0,0,0,0,2,sinkhole
120.0,8,5,1,0.029411765,0.029411765,0.012492252,0.012492252,0.0019989013671875,89,0.027200488,0.027200488,0,0,0,3,legitimate
423.0,7,5,1,1.0,1.0,1.0,1.0,0.00201416015625,89,1.0,1.0,0,0,0,13,legitimate
60.0,3,0,1,0.16666667,0.16666667,0.11759426,0.11759426,0.0019989013671875,106,0.2128514,0.2128514,0,0,0,1,dis_flood
591.0,16,4,4,0.4,0.8,0.04823789,0.98138696,0.132080078125,303,0.37041566,0.7408313,0,0,0,55,dis_flood
822.0,16,5,1,0.16666667,0.8333333,0.004123785,0.9993904,0.00701904296875,89,0.17871486,0.7871486,0,0,0,49,legitimate
638.0,27,36,5,0.625,0.625,0.76635516,0.76635516,0.010009765625,340,0.5802048,0.5802048,0,0,0,27,legitimate
411.0,28,44,20,0.8,0.8,0.9971459,0.9971459,0.693023681640625,1320,0.7719298,0.7719298,0,20,0,16082,version_num
786.0,11,5,1,1.0,1.0,1.0,1.0,0.00201416015625,89,1.0,1.0,0,0,0,28,legitimate
66.0,28,44,42,1.0,1.0,1.0,1.0,0.9550018310546876,2772,1.0,1.0,0,42,0,282,version_num
195.0,3,0,1,0.16666667,0.16666667,0.11101695,0.11101695,0.0019989013671875,106,0.2128514,0.2128514,0,0,0,27,dis_flood
490.0,1,0,1,0.25,0.25,0.0016061838,0.0016061838,0.0009765625,106,0.33125,0.33125,0,0,0,29,sinkhole
3433.0,28,7,3,0.75,0.75,0.08380112,0.08380112,0.051025390625,267,0.7158177,0.7158177,0,0,0,53,sinkhole
481.0,2,0,1,0.25,0.25,0.29598394,0.29598394,0.04498291015625,106,0.33125,0.33125,0,0,0,22,sinkhole
252.0,27,23,24,0.2,0.2,0.0059022303,0.0059022303,0.0059967041015625,1872,0.21841092,0.21841092,0,0,24,0,version_num
105.0,32,44,11,0.08208955,0.8432836,0.003993811,0.7962089,0.003997802734375,1089,0.1016522,0.8471016,11,0,0,0,version_num
615.0,18,4,5,0.8333333,0.8333333,0.56436133,0.56436133,0.13995361328125,392,0.7871486,0.7871486,0,0,0,63,dis_flood
802.0,41,27,1,0.04347826,0.2173913,0.036823936,0.15189873,0.001953125,68,0.03896848,0.21776505,0,0,0,13,legitimate
160.0,8,4,4,0.5714286,0.85714287,0.6666667,0.8668699,0.010009765625,303,0.516184,0.81942075,0,0,0,19,dis_flood
3305.0,39,46,3,0.33333334,0.8888889,0.117920145,0.8895079,0.031005859375,204,0.3222749,0.8593997,0,0,0,12,sinkhole
791.0,31,27,1,0.09090909,0.09090909,0.0034965035,0.0034965035,0.00201416015625,68,0.08842653,0.08842653,0,0,0,7,legitimate
698.0,6,5,1,0.25,1.0,0.25,1.0,0.00201416015625,89,0.25,1.0,0,0,0,25,legitimate
237.0,22,44,8,0.043010753,0.516129,0.0876243,0.5859781,0.0800018310546875,792,0.056418292,0.49601084,8,0,0,0,version_num
3233.0,9,7,4,0.8,0.8,0.58766234,0.58766234,0.044189453125,303,0.7408313,0.7408313,0,0,0,42,sinkhole
385.0,18,7,3,0.75,0.75,0.021883288,0.021883288,0.001007080078125,214,0.66875,0.66875,0,0,0,25,sinkhole
508.0,22,5,1,0.14285715,0.85714287,0.06273764,0.8745247,0.001007080078125,89,0.15161839,0.81942075,0,0,0,17,legitimate
70.0,28,44,80,0.5063291,0.6075949,0.55456865,0.6292948,0.563995361328125,5280,0.45128205,0.58666664,0,80,0,595,version_num
287.0,36,44,21,0.22580644,0.6236559,0.06873109,0.78706837,0.070037841796875,2079,0.2563818,0.66333705,21,0,0,29,version_num
242.0,19,4,1,1.0,1.0,1.0,1.0,3.798004150390625,89,1.0,1.0,0,0,0,6,dis_flood
261.0,1,0,1,0.14285715,0.14285715,0.067073174,0.067073174,0.001007080078125,106,0.18057922,0.18057922,0,0,0,36,legitimate
623.0,34,29,4,0.2857143,0.2857143,0.2893701,0.2893701,0.00897216796875,272,0.26103646,0.26103646,0,0,0,23,legitimate
281.0,33,43,5,0.09259259,0.09259259,0.0014723598,0.0014723598,0.001007080078125,390,0.1006192,0.1006192,0,0,5,0,version_num
193.0,42,22,5,0.147651,0.06711409,0.09200537,0.1048493,0.0019989013671875,390,0.1425624,0.053641427,0,0,5,0,version_num
99.0,7,5,1,1.0,1.0,1.0,1.0,0.0450057983398437,89,1.0,1.0,0,0,0,1,legitimate
455.0,32,7,1,0.5,1.0,0.03664252,1.0,0.0419921875,89,0.5,1.0,0,0,0,7,sinkhole
102.0,1,0,1,0.2,0.2,0.09992372,0.09992372,0.0009994506835937,106,0.2591687,0.2591687,0,0,0,7,legitimate
584.0,24,4,1,1.0,1.0,1.0,1.0,0.051025390625,89,1.0,1.0,0,0,0,12,dis_flood
276.0,23,5,5,0.8333333,0.8333333,0.98401165,0.98401165,0.061981201171875,392,0.7871486,0.7871486,0,0,0,37,legitimate
158.0,26,5,5,0.8333333,0.8333333,0.9675357,0.9675357,0.0300140380859375,392,0.7871486,0.7871486,0,0,0,23,legitimate
308.0,32,7,1,0.5,1.0,0.47562337,1.0,0.03900146484375,89,0.5,1.0,0,0,0,5,sinkhole
248.0,40,22,3,0.09836066,0.12295082,0.2769801,0.19748168,0.0670013427734375,234,0.09689923,0.1007752,0,0,3,0,version_num
157.0,33,54,29,1.0,1.0,1.0,1.0,0.7920074462890625,2871,1.0,1.0,29,0,0,0,dis_flood
730.0,27,49,32,0.969697,0.969697,0.99551946,0.99551946,0.21697998046875,3168,0.97597045,0.97597045,0,0,0,32,legitimate
367.0,20,4,1,1.0,1.0,1.0,1.0,0.370025634765625,89,1.0,1.0,0,0,0,7,dis_flood
85.0,2,0,1,0.024390243,0.024390243,0.0032080773,0.0032080773,0.0030059814453125,106,0.027625749,0.027625749,0,0,0,2,dis_flood
84.0,46,42,4,0.10810811,0.10810811,0.051655106,0.051655106,0.0250015258789062,312,0.088210344,0.088210344,0,0,4,0,dis_flood
73.0,12,5,4,0.11764706,0.11764706,0.029613271,0.029613271,0.009002685546875,303,0.09237805,0.09237805,0,0,0,4,legitimate
321.0,12,4,1,0.06666667,0.13333334,0.20551132,0.20551132,0.0889892578125,89,0.060750853,0.12150171,0,0,0,11,dis_flood
376.0,33,31,1,0.011363637,0.03409091,0.097609416,0.5317412,0.12298583984375,78,0.009676219,0.029028656,0,0,1,0,version_num
236.0,20,4,1,0.16666667,0.8333333,0.06300688,0.06462149,0.0780029296875,89,0.1615245,0.8076225,0,0,0,4,dis_flood
372.0,28,44,57,0.6,0.6,0.96990854,0.96990854,0.902984619140625,3762,0.55932206,0.55932206,0,57,0,15100,version_num
641.0,19,5,1,0.16666667,0.16666667,0.08629441,0.08629441,0.00103759765625,89,0.20745921,0.20745921,0,0,0,22,legitimate
67.0,29,27,4,0.22222222,0.22222222,0.18413654,0.18413654,0.0069961547851562,312,0.22222222,0.22222222,0,0,4,0,legitimate
92.0,64,67,27,0.36486486,1.0,0.48423168,1.0,0.522003173828125,2673,0.36486486,1.0,27,0,0,0,sinkhole
783.0,1,0,1,0.2,0.2,0.18232045,0.18232045,0.00201416015625,106,0.2591687,0.2591687,0,0,0,141,legitimate
176.0,33,41,38,0.27737227,0.27737227,0.054340642,0.054340642,0.0589599609375,2964,0.29634073,0.29634073,0,0,38,0,version_num
301.0,32,27,1,0.025641026,0.025641026,0.010286082,0.010286082,0.0009765625,68,0.025241276,0.025241276,0,0,0,3,legitimate
486.0,17,5,4,0.26666668,0.6,0.27264327,0.6062847,0.009002685546875,303,0.25376883,0.6264657,0,0,0,71,legitimate
170.0,28,44,48,0.9056604,0.9056604,0.9952784,0.9952784,1.05499267578125,3168,0.89038783,0.89038783,0,48,0,5944,version_num
209.0,31,22,1,0.007246377,0.057971016,0.07347196,0.15500237,0.063995361328125,78,0.0073177596,0.058542076,0,0,1,0,version_num
836.0,44,27,1,1.0,1.0,1.0,1.0,0.0009765625,68,1.0,1.0,0,0,0,8,legitimate
375.0,26,44,13,0.1092437,0.6386555,0.24663517,0.46986762,0.274017333984375,1287,0.11783556,0.6888848,13,0,0,0,version_num
223.0,41,44,40,0.36363637,0.8818182,0.42694777,0.7201614,0.4149932861328125,3960,0.37369066,0.9061999,40,0,0,58,version_num
103.0,38,67,12,0.4,0.6333333,0.43103755,0.63793653,0.4250030517578125,1188,0.42903575,0.6793066,12,0,0,0,sinkhole
111.0,42,22,5,0.03164557,0.07594936,0.0,0.005030019,0.0,390,0.028850421,0.06924101,0,0,5,0,version_num
136.0,37,23,57,0.23651452,0.23651452,0.24733007,0.24733007,0.257965087890625,4446,0.21893929,0.21893929,0,0,57,0,version_num
556.0,13,5,4,0.36363637,0.8181818,0.4289855,0.90144926,0.009033203125,303,0.33406836,0.7662624,0,0,0,80,legitimate
731.0,15,5,1,0.11111111,0.11111111,0.15492958,0.15492958,0.00201416015625,89,0.12482469,0.12482469,0,0,0,25,legitimate
403.0,28,44,26,0.7027027,0.7027027,0.9933146,0.9933146,1.18798828125,1716,0.6666667,0.6666667,0,26,0,15817,version_num
