"No.","Time","Source","Destination","Protocol","Length","Info"
"5765","181.210000","2002:db8::212:7410:10:1010","2002:db8::1","UDP","36","Source port: 8775  Destination port: ggz"
"5766","181.211000","","","IEEE 802.15.4","7","Ack"
"5767","181.490000","2002:db8::212:7407:7:707","2002:db8::1","UDP","89","Source port: 8775  Destination port: ggz"
"5768","181.491000","","","IEEE 802.15.4","7","Ack"
"5769","181.942000","2002:db8::212:7412:12:1212","2002:db8::1","UDP","89","Source port: 8775  Destination port: ggz"
"5770","181.943000","","","IEEE 802.15.4","7","Ack"
"5771","182.871000","2002:db8::212:740f:f:f0f","2002:db8::1","UDP","89","Source port: 8775  Destination port: ggz"
"5772","182.872000","","","IEEE 802.15.4","7","Ack"
"5773","185.406000","2002:db8::212:7413:13:1313","2002:db8::1","UDP","89","Source port: 8775  Destination port: ggz"
"5774","185.410000","2002:db8::212:7413:13:1313","2002:db8::1","UDP","89","Source port: 8775  Destination port: ggz"
"5775","185.414000","2002:db8::212:7413:13:1313","2002:db8::1","UDP","89","Source port: 8775  Destination port: ggz"
"5776","185.419000","2002:db8::212:7413:13:1313","2002:db8::1","UDP","89","Source port: 8775  Destination port: ggz"
"5777","185.428000","","","IEEE 802.15.4","7","Ack"
"5778","185.519000","00:12:74:03:00:03:03:03","00:12:74:01:00:01:01:01","6LoWPAN","106","Data, Dst: NitLab_01:00:01:01:01, Src: NitLab_03:00:03:03:03"
"5779","185.522000","","","IEEE 802.15.4","7","Ack"
"5780","185.529000","2002:db8::212:7413:13:1313","2002:db8::1","UDP","36","Source port: 8775  Destination port: ggz"
"5781","185.531000","","","IEEE 802.15.4","7","Ack"
"5782","186.617000","2002:db8::212:7408:8:808","2002:db8::1","UDP","89","Source port: 8775  Destination port: ggz"
"5783","186.623000","2002:db8::212:7408:8:808","2002:db8::1","UDP","89","Source port: 8775  Destination port: ggz"
"5784","186.627000","2002:db8::212:7408:8:808","2002:db8::1","UDP","89","Source port: 8775  Destination port: ggz"
"5785","186.630000","2002:db8::212:7408:8:808","2002:db8::1","UDP","89","Source port: 8775  Destination port: ggz"
"5786","186.631000","","","IEEE 802.15.4","7","Ack"
"5787","186.691000","00:12:74:03:00:03:03:03","00:12:74:01:00:01:01:01","6LoWPAN","106","Data, Dst: NitLab_01:00:01:01:01, Src: NitLab_03:00:03:03:03"
"5788","186.693000","","","IEEE 802.15.4","7","Ack"
"5789","186.702000","2002:db8::212:7408:8:808","2002:db8::1","UDP","36","Source port: 8775  Destination port: ggz"
"5790","186.703000","","","IEEE 802.15.4","7","Ack"
"5791","186.474000","2002:db8::212:7404:4:404","2002:db8::1","UDP","89","Source port: 8775  Destination port: ggz"
"5792","186.476000","","","IEEE 802.15.4","7","Ack"
