second,src,dst,packetcount,src_ratio,dst_ratio,src_duration_ratio,dst_duration_ratio,TotalPacketDuration,TotalPacketLenght,src_packet_ratio,dst_packet_ratio,DioCount,DisCount,DaoCount,OtherMsg
79.0,1,0,1,0.33333334,0.33333334,0.50095236,0.50095236,0.00200653076171875,106,0.45887446,0.45887446,0,0,0,4
80.0,40,49,29,1.0,1.0,1.0,1.0,1.3830032348632812,2871,1.0,1.0,29,0,0,0
81.0,11,5,1,1.0,1.0,1.0,1.0,0.00099945068359375,89,1.0,1.0,0,0,0,1
83.0,42,49,29,1.0,1.0,1.0,1.0,0.25299835205078125,2871,1.0,1.0,29,0,0,0
84.0,22,5,1,1.0,1.0,1.0,1.0,0.0019989013671875,89,1.0,1.0,0,0,0,2
86.0,19,5,1,1.0,1.0,1.0,1.0,0.00099945068359375,89,1.0,1.0,0,0,0,1
87.0,8,5,1,0.055555556,0.055555556,0.0018374647,0.0018374647,0.00200653076171875,89,0.050225735,0.050225735,0,0,0,2
87.0,43,49,17,0.9444444,0.9444444,0.9981625,0.9981625,1.0900039672851562,1683,0.94977427,0.94977427,17,0,0,0
88.0,43,49,12,0.9230769,0.9230769,0.97418356,0.97418356,0.26399993896484375,1188,0.9303054,0.9303054,12,0,0,0
88.0,10,5,1,0.07692308,0.07692308,0.02581644,0.02581644,0.00699615478515625,89,0.06969459,0.06969459,0,0,0,2
93.0,18,5,5,0.3125,0.625,0.28961638,0.60534245,0.0110015869140625,339,0.2479883,0.5347476,0,0,0,5
93.0,3,4,4,0.25,0.25,0.28941554,0.28941554,0.01099395751953125,424,0.31016827,0.31016827,0,0,0,4
93.0,4,0,1,0.0625,0.125,0.052621007,0.105242014,0.0019989013671875,106,0.07754207,0.15508413,0,0,0,1
93.0,24,5,5,0.3125,0.625,0.31572604,0.60534245,0.011993408203125,392,0.28675932,0.5347476,0,0,0,5
93.0,1,0,1,0.0625,0.125,0.052621007,0.105242014,0.0019989013671875,106,0.07754207,0.15508413,0,0,0,5
94.0,13,5,4,0.6666667,0.6666667,0.7693662,0.7693662,0.01000213623046875,303,0.6221766,0.6221766,0,0,0,4
94.0,4,0,1,0.16666667,0.16666667,0.15375587,0.15375587,0.0019989013671875,106,0.21765913,0.21765913,0,0,0,2
94.0,29,27,1,0.16666667,0.16666667,0.07687794,0.07687794,0.00099945068359375,78,0.16016427,0.16016427,0,0,1,0
95.0,21,5,4,0.8,0.8,0.8333333,0.8333333,0.0099945068359375,303,0.7408313,0.7408313,0,0,0,4
95.0,4,0,1,0.2,0.2,0.16666667,0.16666667,0.0019989013671875,106,0.2591687,0.2591687,0,0,0,3
96.0,23,5,5,0.71428573,0.85714287,0.17849843,0.98215014,0.0099945068359375,392,0.6678024,0.81942075,0,0,0,5
96.0,1,0,1,0.14285715,0.14285715,0.017849844,0.017849844,0.00099945068359375,106,0.18057922,0.18057922,0,0,0,6
96.0,25,5,1,0.14285715,0.85714287,0.80365175,0.98215014,0.0449981689453125,89,0.15161839,0.81942075,0,0,0,1
99.0,7,5,1,1.0,1.0,1.0,1.0,0.04500579833984375,89,1.0,1.0,0,0,0,1
