second,src,dst,packetcount,src_ratio,dst_ratio,src_duration_ratio,dst_duration_ratio,TotalPacketDuration,TotalPacketLenght,src_packet_ratio,dst_packet_ratio,DioCount,DisCount,DaoCount,OtherMsg
71.0,31,44,19,0.31666666,0.74444443,0.47012827,0.612549,0.2400054931640625,1881,0.3448644,0.74460816,19,0,0,0
71.0,22,44,7,0.03888889,0.74444443,0.05577677,0.612549,0.055999755859375,693,0.049327355,0.74460816,7,0,0,0
72.0,28,44,30,0.4347826,0.79710144,0.65105635,0.93757015,0.5839996337890625,1980,0.35694972,0.8031368,0,30,0,710
72.0,22,44,25,0.36231884,0.79710144,0.2865138,0.93757015,0.2570037841796875,2475,0.44618714,0.8031368,25,0,0,0
72.0,37,40,5,0.072463766,0.072463766,0.0022284216,0.0022284216,0.0019989013671875,390,0.070308276,0.070308276,0,0,5,0
72.0,38,23,5,0.072463766,0.072463766,0.0022284216,0.0022284216,0.0019989013671875,390,0.070308276,0.070308276,0,0,5,0
72.0,31,24,4,0.057971016,0.057971016,0.057972986,0.057972986,0.052001953125,312,0.05624662,0.05624662,0,0,4,0
73.0,28,44,51,0.3148148,0.7407407,0.41819826,0.82514745,0.40899658203125,3366,0.249833,0.756847,0,51,0,761
73.0,31,24,34,0.20987654,0.20987654,0.1145193,0.1145193,0.11199951171875,2652,0.19683813,0.19683813,0,0,34,0
73.0,42,44,21,0.12962963,0.7407407,0.15030268,0.82514745,0.14699554443359375,2079,0.15430862,0.756847,21,0,0,0
73.0,37,40,5,0.030864198,0.037037037,0.0,0.04499641,0.0,390,0.028946782,0.034736138,0,0,5,0
73.0,33,40,1,0.0061728396,0.037037037,0.04499641,0.04499641,0.04400634765625,78,0.0057893563,0.034736138,0,0,1,0
73.0,29,44,25,0.15432099,0.7407407,0.08179393,0.82514745,0.07999420166015625,2475,0.18370074,0.756847,25,0,0,0
73.0,23,44,23,0.14197531,0.7407407,0.17485256,0.82514745,0.1710052490234375,2277,0.16900468,0.756847,23,0,0,0
